2025-05-15,0
2025-05-16,0
2025-05-17,0
2025-05-18,0
2025-05-19,0
2025-05-20,0
2025-05-21,0
2025-05-22,0
2025-05-23,0
2025-05-24,0
2025-05-25,0
2025-05-26,0
2025-05-27,0
2025-05-28,0
2025-05-29,0
2025-05-30,0
2025-05-31,0
2025-06-01,0
2025-06-02,0
2025-06-03,0
2025-06-04,0
2025-06-05,0
2025-06-06,0
2025-06-07,0
2025-06-08,0
2025-06-09,0
2025-06-10,0
2025-06-11,0
2025-06-12,0
2025-06-13,0
2025-06-14,0
2025-06-15,0
2025-06-16,0
2025-06-17,0
2025-06-18,0
2025-06-19,0
2025-06-20,2
2025-06-21,0
2025-06-22,0
2025-06-23,0
2025-06-24,0
2025-06-25,0
2025-06-26,0
2025-06-27,1
2025-06-28,1
2025-06-29,2
2025-06-30,0
2025-07-01,0
2025-07-02,0
2025-07-03,1
2025-07-04,3
2025-07-05,0
2025-07-06,2
2025-07-07,0
2025-07-08,1
2025-07-09,3
2025-07-10,0
2025-07-11,0
2025-07-12,0
2025-07-13,4
2025-07-14,1
2025-07-15,1
2025-07-16,3
2025-07-17,0
2025-07-18,13
2025-07-19,0
2025-07-20,2
2025-07-21,0
2025-07-22,0
